County,Precinct Name,Location Name,Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
Cherokee,#2 Cleghorn,CLEGHORN COMMUNITY CENTER A,102 W GRACE AVE,CLEGHORN,IA,51014,42.81306,-95.7129,1,948240
Cherokee,#3 Quimby,FIRE STATION MEETING ROOM,100 MAIN ST,QUIMBY,IA,51049,42.62926,-95.642,0.9,948241
Cherokee,#4 Cherokee,"WASHINGTON HS, AUDITORIUM A",600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,948242
Cherokee,#5 Cherokee Ward 1,"WASHINGTON HS, AUDITORIUM B",600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,946782
Cherokee,#6 Cherokee Ward 2,"WASHINGTON HS, AUDITORIUM C",600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,946783
Cherokee,#7 Cherokee Ward 3,"WASHINGTON HS, AUDITORIUM D",600 W BLUFF ST.,CHEROKEE,IA,51012,42.75522,-95.555,1,946784
Cherokee,#8 Marcus,CLEGHORN COMMUNITY CENTER B,102 W GRACE AVE,CLEGHORN,IA,51014,42.81306,-95.7129,1,#N/A
Chickasaw,Bradford,NASHUA HIGH SCHOOL,612 GREELEY ST,NASHUA,IA,50658,42.94918,-92.5402,1,946785
Chickasaw,Chickasaw,IONIA FIRE STATION,301 W MAIN ST,IONIA,IA,50645,43.03392,-92.4584,1,946786
Chickasaw,City of New Hampton Ward Four,NEW HAMPTON MIDDLE SCHOOL F,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946794
Chickasaw,City of New Hampton Ward One,NEW HAMPTON MIDDLE SCHOOL C,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946791
Chickasaw,City of New Hampton Ward Three,NEW HAMPTON MIDDLE SCHOOL E,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946793
Chickasaw,City of New Hampton Ward Two,NEW HAMPTON MIDDLE SCHOOL D,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946792
Chickasaw,Dayton-Richland,NEW HAMPTON MIDDLE SCHOOL A,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946787
Chickasaw,Deerfield-Washington 2,NEW HAMPTON MIDDLE SCHOOL B,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946788
Chickasaw,Dresden-Fredericksburg,"SUMNER-FREDERICKSBURG MIDDLE SCHOOL, LIBRARY",300 E MAIN ST,FREDERICKSBURG,IA,50630,42.96498,-92.2035,0.9,946789
Chickasaw,Jacksonville-Utica,LAWLER COMMUNITY CENTER A,414 EAST GROVE,LAWLER,IA,52154,43.06943,-92.1497,1,946790
Chickasaw,New Hampton Rural,NEW HAMPTON MIDDLE SCHOOL G,701 W MAIN ST,NEW HAMPTON,IA,50659,43.05928,-92.3062,0.9,946795
Chickasaw,Stapleton,LAWLER COMMUNITY CENTER B,414 EAST GROVE,LAWLER,IA,52154,43.06943,-92.1497,1,946796
Chickasaw,#N/A,ALTA VISTA LIBRARY,203 S WHITE AVE,ALTA VISTA,IA,50603,43.19781,-92.417,1,#N/A
Clarke,Middle Precinct,CLARKE COMMUNITY HIGH SCHOOL A,800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,1593446
Clarke,Murray Precinct,"MURRAY JUNIOR HIGH, GYM",216 SHERMAN ST.,MURRAY,IA,50174,41.03896,-93.9537,1,946798
Clarke,North East Precinct,CLARKE COMMUNITY HIGH SCHOOL C,800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,1593447
Clarke,Osceola 1st Ward Precinct,CLARKE COMMUNITY HIGH SCHOOL D,800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946800
Clarke,Osceola 2nd Ward Precinct,CLARKE COMMUNITY HIGH SCHOOL E,800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946801
Clarke,Osceola 3rd Ward Precinct,CLARKE COMMUNITY HIGH SCHOOL F,800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946802
Clarke,Woodburn Precinct,CLARKE COMMUNITY HIGH SCHOOL G,800 N. JACKSON ST.,OSCEOLA,IA,50213,41.04276,-93.7696,1,946804
Clay,Douglas-Peterson,PETERSON COMMUNITY CENTER,302 MAIN ST,PETERSON,IA,51047,42.91969,-95.3436,1,946805
Clay,Garfield-Herdland,WEBB COMMUNITY CENTER,306 CHURCH ST,WEBB,IA,51366,42.94892,-95.0131,1,946806
Clay,Lake-Freeman,DICKENS COMMUNITY CENTER,100 MAIN ST.,DICKENS,IA,51333,43.13176,-95.0238,1,946807
Clay,Lincoln-Clay,ROYAL COMMUNITY CENTER,302 MAIN ST,ROYAL,IA,51357,43.06461,-95.2859,1,946809
Clay,Logan-Gillett Grove,GILLETT GROVE TOWN HALL,221 RAILWAY ST,GILLETT GROVE,IA,51341,43.01619,-95.0381,1,946808
Clay,Spencer Ward 1,"SPENCER HIGH SCHOOL, LIBRARY",800 E 3RD ST,SPENCER,IA,51301,43.1407,-95.134,1,946812
Clay,Spencer Ward 2,"SPENCER SCHOOL ADMINISTRATION BUILDING, ROOM B",23 E 7TH ST A,SPENCER,IA,51301,43.14369,-95.1437,1,946813
Clay,Spencer Ward 3,"SPENCER MIDDLE SCHOOL, COMMONS",1400 10TH AVE E,SPENCER,IA,51301,43.1523,-95.1311,1,946814
Clay,Spencer Ward 4,"JOHNSON ELEMENTARY SCHOOL, GYM",724 W 9TH ST,SPENCER,IA,51301,43.14645,-95.1568,1,946815
Clay,Spencer Ward 5,"LINCOLN ELEMENTARY SCHOO, GYM",615 4TH AVE SW,SPENCER,IA,51301,43.13162,-95.1506,1,946816
