County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Sioux,Sm,Sioux Sm,947939,1,0,1,0,2,200.0%,-2,0,0,3,5,3.5
Sioux,Wb,Sioux Wb,1593765,1,0,1,0,1,100.0%,-1,0,1,1,3,2
Story,1,Story 01,947941,6,61,46,21,3,6.5%,58,0,13,32,48,27
Story,2,Story 02,947952,8,102,78,36,6,7.7%,96,1,8,22,36,23.5
Story,3,Story 03,947963,6,51,42,19,4,9.5%,47,0,9,29,42,25.5
Story,4,Story 04,947974,8,139,106,48,3,2.8%,136,1,9,27,39,24.5
Story,5,Story 05,947979,9,148,111,51,3,2.7%,145,1,10,26,39,24.5
Story,6,Story 06,947980,10,139,103,47,7,6.8%,132,1,12,35,54,34.5
Story,7,Story 07,947981,7,103,78,36,5,6.4%,98,2,8,36,49,29
Story,8,Story 08,947982,8,125,94,43,3,3.2%,122,0,7,27,37,22.5
Story,9,Story 09,947983,9,130,97,45,7,7.2%,123,0,6,20,33,21
Story,10,Story 10,947942,9,141,106,48,6,5.7%,135,2,10,28,44,28.5
Story,11,Story 11,947943,9,124,93,43,4,4.3%,120,1,7,25,36,22
Story,12,Story 12,947944,5,26,20,9,2,10.0%,24,0,7,18,27,16.5
Story,13,Story 13,947945,5,40,32,15,5,15.6%,35,0,6,31,42,24
Story,14,Story 14,947946,8,75,57,26,3,5.3%,72,0,4,14,21,13.5
Story,15,Story 15,947947,8,117,88,40,3,3.4%,114,0,6,31,40,24.5
Story,16,Story 16,947948,6,14,12,5,4,33.3%,10,2,18,31,53,36.5
Story,17,Story 17,947949,4,7,8,3,2,25.0%,5,0,11,12,25,17
Story,18,Story 18,947950,5,8,8,3,7,87.5%,1,0,7,14,28,19.5
Story,19,Story 19,947951,7,90,69,31,7,10.1%,83,0,2,25,34,19.5
Story,20,Story 20,947953,8,118,89,41,6,6.7%,112,0,18,27,51,34
Story,21,Story 21,947954,1,12,10,5,0,0.0%,12,0,2,5,7,4.5
Story,22,Story 22,947955,7,89,67,31,1,1.5%,88,0,8,21,30,18.5
Story,23,Story 23,947956,1,8,7,3,0,0.0%,8,0,0,2,2,1
Story,24,Story 24,947957,3,39,30,18,1,3.3%,38,1,5,12,18,11
Story,25,Story 25,947958,6,64,51,23,3,5.9%,61,1,3,13,19,11
Story,26,Story 26,947959,2,24,19,26,1,5.3%,23,0,2,11,14,8.5
